Key,en,hi,ar,es,fr
Mail OTP Resend Success!,Mail OTP Resend Success!,मेल ओटीपी पुनः भेजें सफलता!,نجاح إعادة إرسال البريد OTP!,¡Reenvío de OTP por correo exitoso!,Mail OTP Renvoyer avec succès !
A User Has sent a message,A User Has sent a message,एक उपयोगकर्ता ने एक संदेश भेजा है,أرسل أحد المستخدمين رسالة,Un usuario ha enviado un mensaje.,Un utilisateur a envoyé un message
Message Send Successfully!,Message Send Successfully!,संदेश सफलतापूर्वक भेजा गया!,تم إرسال الرسالة بنجاح!,¡Mensaje enviado exitosamente!,Message envoyé avec succès !
A User Has subscribed!,A User Has subscribed!,एक उपयोगकर्ता ने सदस्यता ले ली है!,لقد قام مستخدم بالاشتراك!,¡Un usuario se ha suscrito!,Un utilisateur s'est abonné !
Subscribed Successfully!,Subscribed Successfully!,सफलतापूर्वक सदस्यता ली!,تم الاشتراك بنجاح!,¡Suscrito exitosamente!,Abonné avec succès !
Language Switch to ,Language Switch to,भाषा पर स्विच करें,تبديل اللغة إلى,Idioma Cambiar a,Langue Passer à
Password Reset Token Expired,Password Reset Token Expired,पासवर्ड रीसेट टोकन समाप्त हो गया,انتهت صلاحية رمز إعادة تعيين كلمة المرور,El token de restablecimiento de contraseña expiró,Jeton de réinitialisation du mot de passe expiré
You can resend verification code after,You can resend verification code after,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Puedes reenviar el código de verificación después,Vous pouvez renvoyer le code de vérification après
Verification code resend success!,Verification code resend success!,सत्यापन कोड पुनः भेजना सफल!,تمت إعادة إرسال رمز التحقق بنجاح!,¡El reenvío del código de verificación fue exitoso!,Le code de vérification a été renvoyé avec succès !
Invalid Request. Please try again.,Invalid Request. Please try again.,अमान्य अनुरोध। कृपया पुन: प्रयास करें।,طلب غير صالح. يرجى المحاولة مرة أخرى.,Solicitud no válida. Por favor inténtalo de nuevo.,Demande invalide. Veuillez réessayer.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe.
User Registration is currently disabled from admin,User Registration is currently disabled from admin,उपयोगकर्ता पंजीकरण वर्तमान में व्यवस्थापक से अक्षम है,تسجيل المستخدم معطل حاليا من المشرف,El registro de usuario está actualmente deshabilitado desde el administrador.,L'inscription des utilisateurs est actuellement désactivée depuis l'administrateur
Profile successfully updated!,Profile successfully updated!,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!,تم تحديث الملف الشخصي بنجاح!,¡Perfil actualizado exitosamente!,Profil mis à jour avec succès !
Current password didn't match,Current password didn't match,वर्तमान पासवर्ड मेल नहीं खाता,كلمة المرور الحالية غير متطابقة,La contraseña actual no coincide,Le mot de passe actuel ne correspond pas
Password successfully updated!,Password successfully updated!,पासवर्ड सफलतापूर्वक अपडेट किया गया!,تم تحديث كلمة المرور بنجاح!,¡Contraseña actualizada exitosamente!,Mot de passe mis à jour avec succès !
Your account deleted successfully!,Your account deleted successfully!,आपका खाता सफलतापूर्वक हटा दिया गया!,تم حذف حسابك بنجاح!,¡Tu cuenta se eliminó exitosamente!,Votre compte a été supprimé avec succès !
Password Changed successfully login again!,Password Changed successfully login again!,पासवर्ड सफलतापूर्वक बदला गया फिर से लॉगिन करें!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!,"Mot de passe modifié, connectez-vous à nouveau !"
